Run	A	B	C	C1	C2	C3	C4	C5	D	F	Energy
48	1.5708	1.5708	1.5708	2.6078	4.8273	2.3048	5.1239	1.5091	1.5708	4.1491	-3.8110
49	1.5708	1.5708	1.5708	4.7081	2.7075	0.2773	2.9828	5.6869	1.5708	2.1216	-3.8112
50	1.5708	1.5708	1.5708	4.6941	4.8321	0.1962	0.9824	5.6907	1.5708	4.0948	-3.8105
51	1.5708	1.5708	1.5708	4.6977	4.7950	4.4418	2.9993	1.4721	1.5708	2.1169	-3.8110
52	1.5708	1.5708	1.5708	2.6196	4.8296	4.4451	2.9514	1.4732	1.5708	0.0253	-3.8052
53	1.5708	1.5708	1.5708	4.6714	2.7332	4.3785	0.9358	1.4915	1.5708	2.0821	-3.8053
54	1.5708	1.5708	1.5708	0.5230	2.7141	4.3975	5.1226	1.4986	1.5708	2.0448	-3.8093
55	1.5708	1.5708	1.5708	2.6145	2.5637	0.7244	4.4267	1.6696	1.5708	5.1393	-3.8076
56	1.5708	1.5708	1.5708	2.6298	0.4273	2.8065	0.2334	5.8506	1.5708	0.9295	-3.8083
57	1.5708	1.5708	1.5708	2.6453	2.4798	0.9186	0.0765	1.6546	1.5708	1.0993	-3.8041
58	1.5708	1.5708	1.5708	2.6093	0.4819	0.6996	0.3039	1.6388	1.5708	5.0243	-3.8033
59	1.5708	1.5708	1.5708	2.6521	4.6119	0.7840	4.3848	3.7668	1.5708	0.9501	-3.8053
60	1.5708	1.5708	1.5708	4.6997	2.7121	0.2463	0.8916	1.5064	1.5708	4.2209	-3.8117
61	1.5708	1.5708	1.5708	4.7150	0.4485	0.7407	0.2218	5.8607	1.5708	0.9696	-3.8105
62	1.5708	1.5708	1.5708	2.6185	4.6496	2.7950	2.3413	1.6603	1.5708	5.1364	-3.8092
63	1.5708	1.5708	1.5708	0.5499	2.4750	0.8813	2.1650	3.7490	1.5708	3.2114	-3.8106
64	1.5708	1.5708	1.5708	4.6955	2.6995	4.4228	3.0214	3.6137	1.5708	4.1565	-3.8063
65	1.5708	1.5708	1.5708	0.5425	0.3934	5.0932	2.1178	3.7232	1.5708	1.1513	-3.8076
66	1.5708	1.5708	1.5708	4.7404	0.4013	5.0308	2.2064	3.7404	1.5708	1.0622	-3.8116
67	1.5708	1.5708	1.5708	4.7228	2.5402	0.8029	0.1477	5.8755	1.5708	3.0997	-3.8055
68	1.5708	1.5708	1.5708	2.6220	2.5503	4.9145	2.3189	3.7331	1.5708	5.1834	-3.8083
69	1.5708	1.5708	1.5708	2.5977	4.8355	0.2690	0.8737	1.4682	1.5708	4.2373	-3.8090
70	1.5708	1.5708	1.5708	0.5253	4.6275	2.7780	0.3208	3.7177	1.5708	2.8967	-3.8032
71	1.5708	1.5708	1.5708	4.7131	2.6860	2.4343	2.8249	1.4797	1.5708	2.3162	-3.8029
72	1.5708	1.5708	1.5708	4.7188	2.5451	4.9170	0.2044	3.7467	1.5708	5.1551	-3.8111
73	1.5708	1.5708	1.5708	4.7186	2.5281	4.9592	0.2152	5.8505	1.5708	5.1499	-3.8112
74	1.5708	1.5708	1.5708	2.6440	4.5824	5.0183	0.1308	3.7550	1.5708	5.2528	-3.8116
75	1.5708	1.5708	1.5708	2.6201	2.4999	0.8477	2.1642	3.7463	1.5708	5.2651	-3.8058
76	1.5708	1.5708	1.5708	4.7153	2.5391	5.0008	0.1489	3.7581	1.5708	3.1526	-3.8093
77	1.5708	1.5708	1.5708	0.5570	4.5895	2.9430	0.0837	1.6721	1.5708	3.1834	-3.8083
78	1.5708	1.5708	1.5708	2.6289	2.5213	2.9076	2.2212	1.6961	1.5708	1.0462	-3.8054
79	1.5708	1.5708	1.5708	0.5114	4.8349	2.2722	3.0646	3.5730	1.5708	6.2085	-3.8116
80	1.5708	1.5708	1.5708	4.6876	4.8144	2.3337	0.9234	1.4728	1.5708	2.0581	-3.8111
81	1.5708	1.5708	1.5708	2.5655	4.8321	2.3289	3.0234	1.4688	1.5708	4.1530	-3.7978
82	1.5708	1.5708	1.5708	4.7188	2.5204	4.9629	2.2766	1.6587	1.5708	1.0064	-3.8130
83	1.5708	1.5708	1.5708	2.6210	0.3958	0.7776	0.1768	1.6499	1.5708	3.1236	-3.8059
84	1.5708	1.5708	1.5708	0.4928	4.7867	2.4044	4.9713	5.6780	1.5708	4.3587	-3.8045
85	1.5708	1.5708	1.5708	0.5283	2.5415	2.8506	4.3885	5.8376	1.5708	0.9449	-3.8106
86	1.5708	1.5708	1.5708	2.6177	2.5372	0.6939	4.4920	3.7417	1.5708	2.9598	-3.8068
87	1.5708	1.5708	1.5708	0.5510	0.3908	2.9590	0.0987	1.6358	1.5708	5.3059	-3.8090
88	1.5708	1.5708	1.5708	0.4973	0.5728	0.4317	2.7606	5.7411	1.5708	2.4323	-3.7967
89	1.5708	1.5708	1.5708	2.5926	0.6205	2.3718	5.0123	1.4824	1.5708	2.1576	-3.8086
90	1.5708	1.5708	1.5708	4.6774	2.7020	0.2744	0.8699	1.4952	1.5708	0.0251	-3.8075
91	1.5708	1.5708	1.5708	2.6307	0.4356	4.9943	0.1373	1.6367	1.5708	1.1207	-3.8047
92	1.5708	1.5708	1.5708	4.6863	2.7005	4.4640	2.9787	3.5916	1.5708	2.1006	-3.8100
93	1.5708	1.5708	1.5708	4.7117	2.7167	2.3083	0.9396	1.5129	1.5708	2.0561	-3.8079
94	1.5708	1.5708	1.5708	2.5872	4.8275	2.2797	5.1484	3.5874	1.5708	6.2325	-3.8107
95	1.5708	1.5708	1.5708	2.6545	0.4004	5.0403	2.1718	3.7563	1.5708	1.1046	-3.8085
96	1.5708	1.5708	1.5708	2.6201	2.6837	2.4464	0.7409	1.4835	1.5708	2.2771	-3.8068
97	1.5708	1.5708	1.5708	4.7286	2.4846	2.9657	0.0870	5.8505	1.5708	1.1043	-3.8114
98	1.5708	1.5708	1.5708	0.5539	0.4233	4.9914	2.2558	3.7521	1.5708	3.1243	-3.8112
99	1.5708	1.5708	1.5708	4.7434	0.3776	5.0180	4.2793	3.7480	1.5708	5.2371	-3.8025
100	1.5708	1.5708	1.5708	2.6481	0.4041	5.0077	2.2328	5.8346	1.5708	3.1333	-3.8112
