Run	A	B	C	C1	C2	C3	C4	C5	D	F	Energy
1	1.5708	1.5708	1.5708	0.4936	0.6332	0.3253	5.0341	3.6030	1.5708	2.1620	-3.8013
2	1.5708	1.5708	1.5708	4.7136	2.7443	4.4037	5.1166	1.4774	1.5708	2.0936	-3.8073
3	1.5708	1.5708	1.5708	4.7169	4.6323	2.8610	0.1446	5.8470	1.5708	5.2232	-3.8094
4	1.5708	1.5708	1.5708	0.5140	2.7149	0.2808	0.8784	3.6023	1.5708	0.0465	-3.8104
5	1.5708	1.5708	1.5708	2.5838	4.8199	2.3028	0.8861	1.4659	1.5708	0.0236	-3.8031
6	1.5708	1.5708	1.5708	2.6408	2.5173	0.8509	0.1475	1.6762	1.5708	5.2571	-3.8036
7	1.5708	1.5708	1.5708	2.6372	4.6238	5.0509	4.3168	1.6361	1.5708	5.3166	-3.7973
8	1.5708	1.5708	1.5708	4.7115	2.5428	2.8039	2.3476	3.7257	1.5708	2.9787	-3.8075
9	1.5708	1.5708	1.5708	0.5012	2.7275	4.4267	3.0338	1.4728	1.5708	4.1140	-3.8080
10	1.5708	1.5708	1.5708	4.6808	2.7630	2.2859	5.1376	1.5045	1.5708	4.1346	-3.8081
11	1.5708	1.5708	1.5708	4.7262	4.6142	0.7271	2.3683	1.6452	1.5708	3.0208	-3.8066
12	1.5708	1.5708	1.5708	0.5099	4.8067	4.4388	2.9917	3.5644	1.5708	4.2231	-3.8119
13	1.5708	1.5708	1.5708	0.5424	0.4370	2.9168	0.1179	3.7832	1.5708	5.2445	-3.8059
14	1.5708	1.5708	1.5708	4.6858	2.7331	2.3240	5.1176	1.5061	1.5708	2.0810	-3.8107
15	1.5708	1.5708	1.5708	0.5281	0.4302	2.8813	4.3835	1.6718	1.5708	3.0679	-3.8098
16	1.5708	1.5708	1.5708	2.6097	4.7366	2.5723	2.6870	5.7250	1.5708	4.6510	-3.7997
17	1.5708	1.5708	1.5708	0.5031	0.6120	4.5095	2.9041	1.4938	1.5708	0.1377	-3.8104
18	1.5708	1.5708	1.5708	2.5975	4.7963	2.3017	3.0318	3.5686	1.5708	4.1494	-3.8086
19	1.5708	1.5708	1.5708	4.7217	2.4781	5.0988	2.1198	3.7477	1.5708	3.1955	-3.8020
20	1.5708	1.5708	1.5708	0.5178	4.8038	0.3057	0.8207	1.4962	1.5708	2.2008	-3.8115
21	1.5708	1.5708	1.5708	0.5047	4.8495	2.2874	3.0246	3.5879	1.5708	6.2820	-3.8096
22	1.5708	1.5708	1.5708	4.7044	2.6675	2.4490	4.9174	1.4921	1.5708	0.1821	-3.8061
23	1.5708	1.5708	1.5708	2.6556	2.5081	5.0506	4.2582	5.8257	1.5708	5.3313	-3.8056
24	1.5708	1.5708	1.5708	4.7281	2.5358	4.9315	0.2087	1.6485	1.5708	3.0475	-3.8125
25	1.5708	1.5708	1.5708	2.6291	4.6355	4.8693	2.4206	3.7480	1.5708	4.9879	-3.8052
26	1.5708	1.5708	1.5708	0.5018	2.7296	0.2123	3.0571	5.6897	1.5708	2.0301	-3.8113
27	1.5708	1.5708	1.5708	0.5054	4.8069	0.1653	5.1254	1.5009	1.5708	6.2688	-3.8027
28	1.5708	1.5708	1.5708	4.7053	0.6220	4.4948	5.0134	5.6748	1.5708	4.3173	-3.8095
29	1.5708	1.5708	1.5708	0.5445	2.5284	4.9476	0.1731	3.7746	1.5708	0.9923	-3.8088
30	1.5708	1.5708	1.5708	2.6263	2.5285	2.9536	2.2012	5.8792	1.5708	1.0911	-3.8022
31	1.5708	1.5708	1.5708	0.5565	4.6072	0.8760	0.0678	5.8288	1.5708	3.2112	-3.8070
32	1.5708	1.5708	1.5708	2.6404	0.4100	5.0270	0.1123	3.7549	1.5708	3.1866	-3.8129
33	1.5708	1.5708	1.5708	2.6218	4.7914	4.4704	5.0568	5.6831	1.5708	2.1399	-3.8101
34	1.5708	1.5708	1.5708	0.5393	2.6026	2.6453	4.6989	3.6606	1.5708	4.7289	-3.7991
35	1.5708	1.5708	1.5708	4.7303	4.6295	4.9981	4.3436	3.7717	1.5708	3.1199	-3.8093
36	1.5708	1.5708	1.5708	0.5225	0.5644	4.5917	2.7986	3.6105	1.5708	0.2137	-3.8055
37	1.5708	1.5708	1.5708	2.5940	4.8089	2.4001	2.9661	3.6117	1.5708	2.1065	-3.8035
38	1.5708	1.5708	1.5708	0.4999	0.6184	2.3391	3.0118	1.4935	1.5708	4.1863	-3.8120
39	1.5708	1.5708	1.5708	2.6089	0.6076	4.5094	0.8315	3.5765	1.5708	4.2776	-3.8116
40	1.5708	1.5708	1.5708	4.7302	2.5101	2.9006	0.1509	1.6722	1.5708	5.2787	-3.8082
41	1.5708	1.5708	1.5708	4.7392	4.6189	2.9067	0.1577	1.6631	1.5708	1.0421	-3.8105
42	1.5708	1.5708	1.5708	2.6005	0.6474	4.3934	0.9271	5.6568	1.5708	2.0683	-3.8112
43	1.5708	1.5708	1.5708	2.6252	4.6455	2.8403	2.2692	3.7460	1.5708	5.1634	-3.8081
44	1.5708	1.5708	1.5708	2.6245	0.5979	4.5250	4.9700	5.6804	1.5708	2.2763	-3.8062
45	1.5708	1.5708	1.5708	4.7367	0.4374	5.0068	4.3188	5.8302	1.5708	3.1661	-3.8099
46	1.5708	1.5708	1.5708	2.6082	4.8040	0.2798	0.8963	1.4631	1.5708	0.0064	-3.8090
47	1.5708	1.5708	1.5708	4.7139	0.4300	5.0043	2.2343	1.6347	1.5708	3.1444	-3.8097
