Run	A	B	C	C1	C2	C3	C4	C5	D	F	Energy
55	1.5708	1.5708	1.5708	0.5177	4.8324	0.1079	5.2467	3.5789	1.5708	4.0566	-3.8529
56	1.5708	1.5708	1.5708	4.7388	0.3685	5.1825	6.2157	3.7598	1.5708	1.2340	-3.8573
57	1.5708	1.5708	1.5708	0.5423	2.4319	1.0173	2.0121	1.6599	1.5708	1.2479	-3.8531
58	1.5708	1.5708	1.5708	4.7311	4.5755	5.1094	4.1668	5.8574	1.5708	5.3759	-3.8551
59	1.5708	1.5708	1.5708	0.5412	4.5793	0.9923	6.2370	5.8427	1.5708	3.3027	-3.8546
60	1.5708	1.5708	1.5708	2.6601	0.3622	0.9934	4.1335	3.7637	1.5708	3.2993	-3.8515
61	1.5708	1.5708	1.5708	2.5884	2.7860	0.1004	1.0361	1.4736	1.5708	1.9420	-3.8487
62	1.5708	1.5708	1.5708	0.4866	2.7955	4.1892	3.2592	5.6643	1.5708	6.0552	-3.8522
63	1.5708	1.5708	1.5708	0.5648	2.4472	5.2444	6.1795	3.7421	1.5708	3.3790	-3.8509
64	1.5708	1.5708	1.5708	0.5405	0.3727	0.9747	2.0666	5.8742	1.5708	3.2621	-3.8506
65	1.5708	1.5708	1.5708	2.5788	4.8785	0.0909	5.2914	1.4655	1.5708	4.0034	-3.8511
66	1.5708	1.5708	1.5708	0.4877	4.8583	2.2034	1.0976	5.6550	1.5708	1.9254	-3.8516
67	1.5708	1.5708	1.5708	0.5415	2.4710	0.9090	4.2014	1.6673	1.5708	3.2512	-3.8539
68	1.5708	1.5708	1.5708	0.4894	4.8414	0.0692	3.2138	3.5604	1.5708	6.1258	-3.8492
69	1.5708	1.5708	1.5708	4.6947	0.6586	4.3706	0.9889	1.4751	1.5708	6.2375	-3.8474
70	1.5708	1.5708	1.5708	0.4903	4.8703	0.0308	1.1733	3.6005	1.5708	3.9374	-3.8533
71	1.5708	1.5708	1.5708	4.7233	4.5604	0.9806	6.1841	3.7589	1.5708	3.3310	-3.8506
72	1.5708	1.5708	1.5708	2.6370	2.4747	5.1459	2.0263	1.6459	1.5708	5.4371	-3.8554
73	1.5708	1.5708	1.5708	2.6292	0.3950	5.0825	2.1335	3.7317	1.5708	5.3476	-3.8471
74	1.5708	1.5708	1.5708	4.7043	4.8579	2.2374	1.0465	5.6604	1.5708	4.0522	-3.8521
75	1.5708	1.5708	1.5708	0.5479	2.4806	5.1526	2.0093	3.7549	1.5708	1.2523	-3.8537
76	1.5708	1.5708	1.5708	4.7038	0.6503	4.3115	1.0121	3.5735	1.5708	4.0970	-3.8495
77	1.5708	1.5708	1.5708	0.5571	2.4375	1.0122	2.0402	1.6484	1.5708	3.3687	-3.8470
78	1.5708	1.5708	1.5708	2.6465	2.4692	0.9689	6.2128	1.6255	1.5708	5.4578	-3.8516
79	1.5708	1.5708	1.5708	0.5532	2.4423	3.1268	6.1934	1.6589	1.5708	1.2196	-3.8513
80	1.5708	1.5708	1.5708	0.5558	4.5487	3.1107	4.1077	5.8527	1.5708	1.2242	-3.8543
81	1.5708	1.5708	1.5708	0.5117	0.6463	2.1957	5.2834	3.6029	1.5708	1.8967	-3.8513
82	1.5708	1.5708	1.5708	0.5045	4.8308	4.3196	3.1441	1.4995	1.5708	6.1554	-3.8517
83	1.5708	1.5708	1.5708	4.7292	2.4668	5.1583	2.0269	5.8325	1.5708	1.2698	-3.8547
84	1.5708	1.5708	1.5708	2.6266	4.5591	3.0813	4.0823	3.7595	1.5708	1.2369	-3.8486
85	1.5708	1.5708	1.5708	4.7410	2.4511	0.9710	6.2667	1.6568	1.5708	5.3723	-3.8526
86	1.5708	1.5708	1.5708	2.5957	2.7480	0.0141	3.2670	5.6943	1.5708	1.8166	-3.8505
87	1.5708	1.5708	1.5708	2.6257	0.4012	5.1911	4.1325	1.6511	1.5708	1.2002	-3.8493
88	1.5708	1.5708	1.5708	4.7070	0.6513	0.1011	5.2653	1.5012	1.5708	4.0422	-3.8513
89	1.5708	1.5708	1.5708	4.6878	0.6769	4.2833	3.1650	3.5518	1.5708	4.0443	-3.8544
90	1.5708	1.5708	1.5708	0.4966	2.7459	0.1077	1.0716	3.5823	1.5708	6.1553	-3.8532
91	1.5708	1.5708	1.5708	0.5410	2.4902	5.1805	4.1191	5.8227	1.5708	3.3062	-3.8502
92	1.5708	1.5708	1.5708	0.5322	0.3711	5.1888	4.1127	3.7231	1.5708	3.3723	-3.8514
93	1.5708	1.5708	1.5708	2.5922	2.7609	2.0896	1.1545	3.6071	1.5708	1.8645	-3.8522
94	1.5708	1.5708	1.5708	4.7196	0.3806	0.9695	4.1591	5.8706	1.5708	3.3043	-3.8523
95	1.5708	1.5708	1.5708	4.6944	2.7985	2.0938	3.2543	1.4822	1.5708	1.8765	-3.8531
96	1.5708	1.5708	1.5708	2.6403	0.3796	3.0539	6.2394	3.7569	1.5708	1.2127	-3.8576
97	1.5708	1.5708	1.5708	2.6517	2.4906	5.1598	1.9889	3.7589	1.5708	5.4420	-3.8462
98	1.5708	1.5708	1.5708	0.5333	4.5694	3.0701	4.1396	5.8552	1.5708	1.2465	-3.8544
99	1.5708	1.5708	1.5708	4.7142	2.7411	4.3616	5.1935	5.6636	1.5708	1.9934	-3.8477
100	1.5708	1.5708	1.5708	0.5287	2.4931	5.1701	4.0809	1.6554	1.5708	3.3480	-3.8480
